0	It must be Thursday everyday cuz niggas is thirsty all the time
0	Tomorrow Night Thursday Oct 25!!! FIRST BLOOD TOUR Dubstep & Trap Halloween Party with MAYHEM!!!! Greensboro NC... http://t.co/LYXmUVVt
1	"Willie Horton: Made in Detroit: I just remember my dad saying, 'We're going to sign a contract today, and you'r... http://bit.ly/qsQAWj"""
2	@investwatchdog Interested? My EXCLUSIVE: TD Bank denies allegation it aided $7-billion Ponzi fraud; 2nd only to Madoff http://t.co/bQ9QqRQa
1	@IamDuffyBear We can't wait to see what the cast members at Capt. EO do when they see me tomorrow in my costume.
1	about to watch Act of Valor for like the 4th time lol
0	Australian Directioners! Up All Night Tour DVD will be posted tomorrow, you guys should be getting them some time on Friday or so.
0	@spinenumber408 Then I will refrain from telling you about my plan to watch Mysterious Island with my son tomorrow night. (He's 6)
2	IEBC warns it will revert to manual voter registration if BVR kits delay, says poll timetable may change.
2	@sunnyjim123 Yeah that'll be enough for him now. That was devastating. I think Price would be Vitali Klitschko tomorrow if he had the chance
2	Speaking of King cake, the 1st time my mom had some, she ate the baby. Got stuck in her throat and she had to got to the doc to get it out.
0	@BarDownBombs I grew up in Alsip, oak lawn is like my 2nd home. Reason for the city is wifes job at (cont) http://t.co/IsFZAuVh
1	Lovely meal with the fam #yumyum Day four at #OpenChampionship tomorrow come on Harris English
1	@ktvee Love the Iditarod! Used to do huge project when I taught 1st! Even went for start one year! Can't wait to see what you did!
0	White Arrows play The Earl on OCTOBER 9TH with Family of the Year and The New Cassettes. DON'T MISS THIS. http://t.co/FqJzBd3U
0	@nekehnekeh she's got anne curtis, toni gonzaga, dat guy who looks like bruno mars from last sunday, idk his name lol n 4 others idk them :D
0	Could this convince you to buy? RT @iphoneplaza: Verizon May Offer Early Upgrades for Droid Bionic and iPhone 5 Buyers http://t.co/dEOxwCW
0	Becker answers with 65-yd TD drive, @TommyBenson 12-yd fade to Brett Watercott. Becker 26, Zimmerman 7. 2:41 3rd qtr #MNScores
0	Mark Cosgrove has just completed his 12th Shield ton, which is his 6th at Adelaide Oval. SA v TAS 222/1. The... http://t.co/jxY0OUNA
